key,Region of 8,Forest,Pasture,Cropland,Other Not Arable,Grassland,Shrubland,Total Land Use Change,Land Use Gains,Land Use Losses,Land Use Percent Category,Land Use Category,Land Use Change Type,Emission Type,Maximum Emission Model,Minimum Emission Model,Emission Trajectory,Maximum Range between Models,Range Category,Basin Emission,Regional Emissions,Percent Emissions,Emission Category
10045,XAS,-0.17,-0.08,0.14,0.08,-0.04,0.07,0.29,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,SG17,Houghton,Decrease,5.77,1 Mt - Less than 12 Mt,1.00,-12.99,-13.4,Between -5% and -40%
10047,XAS,-20.79,-13.37,60.68,-0.02,-26.5,0,60.68,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,No Change,NA,NA,Steady,0.86,Less than 1 Mt,0.02,-12.99,2.3,Between -5% and  5%
10048,XAS,1.14,-29,-0.31,1.16,19.22,7.79,29.31,2,1,Greater than 7.5% Change,"Two Gains, One Loss","Grassland and Shrubland Gained, Pasture Lost",All Sequestration,Houghton,SG17,Increase,66.04,Greater than 50 Mt,-14.37,-12.99,198.2,Greater than 50%
10052,XAS,0,-1.1,0.71,0.05,0.63,-0.29,1.39,0,1,Less than 2.5% Change,No Change,No Change,Complex,SG20,Houghton,Complex,6.78,1 Mt - Less than 12 Mt,0.08,-12.99,-2.5,Between -5% and  5%
10056,XAS,0.01,-3.64,3.02,0.06,0.29,0.25,3.64,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,Complex,Houghton,FAO,Complex,6.81,1 Mt - Less than 12 Mt,1.53,-12.99,19.8,Between 15% and 50%
10058,XAS,0,-0.51,0.81,0.03,-0.02,-0.31,0.84,0,0,Less than 2.5% Change,No Change,No Change,Complex,FAO,SG17,Complex,11.72,1 Mt - Less than 12 Mt,0.10,-12.99,-25.3,Between -5% and -40%
10068,XAS,0.02,-1.2,1.09,0.02,0.05,0.02,1.2,1,1,Less than 2.5% Change,One to One,Cropland From Pasture,Complex,SG17,SG20,Complex,7.24,1 Mt - Less than 12 Mt,0.66,-12.99,-31.4,Between -5% and -40%
10070,XAS,1.69,-1.21,1.73,0.03,-2.24,0,3.45,2,2,2.5% to 7.5% Change,"Two Gains, Two Losses","Cropland and Forest Gain, Pasture and Grassland Lost",All Sequestration,SG17,Houghton,Increase,0.25,Less than 1 Mt,-0.59,-12.99,11.4,Between 5% and 15%
10072,XAS,0.61,-3.45,3.15,0.18,-0.01,-0.48,3.94,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,SG17,HWSD,Decrease,1.13,1 Mt - Less than 12 Mt,0.63,-12.99,-3.4,Between -5% and  5%
10076,XAS,0,-0.88,0.93,0.02,0,-0.07,0.95,0,0,Less than 2.5% Change,No Change,No Change,Complex,Houghton,SG20,Complex,13.80,12 Mt - Less than 25 Mt,3.01,-12.99,-137.9,Less than -40%
10085,XAS,0,-0.6,0.28,0.18,0.25,-0.11,0.71,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,HWSD,Houghton,Decrease,0.37,Less than 1 Mt,0.03,-12.99,-0.3,Between -5% and  5%
11037,CHN,-3.29,-0.49,6.17,0.05,-2.44,0,6.22,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Grassland Loss",Complex,SG17,HWSD,PeakSteady,2.15,1 Mt - Less than 12 Mt,0.65,46.19,-0.4,Between -5% and  5%
11042,CHN,0,0.23,-0.06,-0.01,0.01,-0.17,0.24,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,Houghton,SG20,Decrease,0.91,Less than 1 Mt,0.80,46.19,-0.9,Between -5% and  5%
11043,CHN,1.98,-1.12,0.31,0.03,-1.17,-0.03,2.32,1,2,Less than 2.5% Change,"One Gain, Two Losses","Forest Gained, Pasture and Shrubland Lost",Complex,HWSD,SG17,Decrease,9.43,1 Mt - Less than 12 Mt,-2.66,46.19,2.7,Between -5% and  5%
11056,CHN,0.09,0,0,0.14,-0.01,-0.22,0.23,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,SG17,SG20,Decrease,0.69,Less than 1 Mt,0.22,46.19,0.2,Between -5% and  5%
11058,CHN,0,6.66E-05,0,0,0,0,6.66E-05,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.00,Less than 1 Mt,0.00,46.19,0,Between -5% and  5%
11066,CHN,1.1,-6.11,5.78,0.08,-0.69,-0.16,6.95,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,HWSD,Houghton,Decrease,4.75,1 Mt - Less than 12 Mt,1.00,46.19,-3.3,Between -5% and  5%
11068,CHN,0.15,0.04,-0.17,0.04,-0.04,-0.02,0.23,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.40,Less than 1 Mt,0.09,46.19,1.4,Between -5% and  5%
11076,CHN,0,-0.17,0,0.17,0,0,0.17,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.00,Less than 1 Mt,0.00,46.19,0,Between -5% and  5%
11077,CHN,-0.29,-5.88,6.56,0.15,-0.53,0,6.7,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,Complex,FAO,HWSD,Decrease,3.40,1 Mt - Less than 12 Mt,-0.09,46.19,18,Between 15% and 50%
11078,CHN,-0.34,-3.49,4.71,0.23,-1.1,-0.01,4.94,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,SG17,Houghton,Decrease,6.24,1 Mt - Less than 12 Mt,8.54,46.19,-12.9,Between -5% and -40%
11079,CHN,1.36,-2.29,1.07,0.07,-0.14,-0.07,2.5,2,1,2.5% to 7.5% Change,"Two Gains, One Loss","Cropland and Forest Gain, Pasture Lost",Complex,Houghton,SG20,Decrease,15.56,12 Mt - Less than 25 Mt,2.07,46.19,29.8,Between 15% and 50%
11085,CHN,0,0.2,-0.18,0.01,-0.01,-0.02,0.21,0,0,Less than 2.5% Change,No Change,No Change,Complex,SG17,Houghton,Decrease,2.62,1 Mt - Less than 12 Mt,1.63,46.19,0.5,Between -5% and  5%
11089,CHN,0,0.04,0,0,-0.03,-0.01,0.04,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.42,Less than 1 Mt,0.46,46.19,0.2,Between -5% and  5%
11092,CHN,0,0,0,0,-0.01,0,0.01,0,0,Less than 2.5% Change,No Change,No Change,All Emissions,SG20,SG17,Decrease,2.31,1 Mt - Less than 12 Mt,0.46,46.19,0.2,Between -5% and  5%
11106,CHN,2.53,-3.4,2.18,0.1,-1.13,-0.29,4.82,2,2,2.5% to 7.5% Change,"Two Gains, Two Losses","Cropland and Forest Gain, Pasture and Grassland Lost",Complex,Houghton,SG20,Decrease,32.21,25 Mt - Less than 50 Mt,15.97,46.19,70.5,Greater than 50%
11108,CHN,3.06,-3.08,2.63,0.11,-2.2,-0.53,5.8,2,2,2.5% to 7.5% Change,"Two Gains, Two Losses","Cropland and Forest Gain, Pasture and Grassland Lost",All Emissions,SG17,Houghton,Decrease,2.34,1 Mt - Less than 12 Mt,8.29,46.19,-8.7,Between -5% and -40%
11109,CHN,4.34,-1.64,0.36,0.05,-0.44,-2.66,4.74,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Forest Gained, Pasture and Shrubland Lost",All Emissions,FAO,Houghton,Decrease,0.63,Less than 1 Mt,1.96,46.19,-1.2,Between -5% and  5%
11110,CHN,0.15,-0.22,0.09,-0.01,-0.02,0,0.24,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,1.56,1 Mt - Less than 12 Mt,1.13,46.19,1,Between -5% and  5%
11112,CHN,3.88,-4.65,1.24,0.1,-0.54,-0.02,5.22,2,1,2.5% to 7.5% Change,"Two Gains, One Loss","Cropland and Forest Gain, Pasture Lost",Complex,HWSD,FAO,Decrease,0.57,Less than 1 Mt,0.47,46.19,1.3,Between -5% and  5%
11124,CHN,4.16,-3.56,-0.09,0.1,-0.58,-0.02,4.25,1,1,2.5% to 7.5% Change,One to One,"Forest Gained, Pasture Lost",Complex,SG17,SG20,Decrease,0.29,Less than 1 Mt,0.42,46.19,2.1,Between -5% and  5%
11125,CHN,4.28,-4.04,0.45,0.01,-0.21,-0.49,4.75,1,1,2.5% to 7.5% Change,One to One,"Forest Gained, Pasture Lost",All Emissions,HWSD,SG17,Decrease,3.71,1 Mt - Less than 12 Mt,3.02,46.19,-2.3,Between -5% and  5%
11127,CHN,2.35,-2.65,0.25,0.01,0.02,0.02,2.65,1,1,2.5% to 7.5% Change,One to One,"Forest Gained, Pasture Lost",All Emissions,Houghton,SG17,Decrease,3.10,1 Mt - Less than 12 Mt,0.96,46.19,3.3,Between -5% and  5%
11137,CHN,4.62,-3.06,-0.23,0.02,-1.03,-0.31,4.64,1,1,2.5% to 7.5% Change,One to One,"Forest Gained, Pasture Lost",All Emissions,Houghton,SG17,Decrease,0.31,Less than 1 Mt,0.81,46.19,-1.4,Between -5% and  5%
12020,EUR,-0.26,-1.68,4.99,0.01,-3.06,0,5,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,HWSD,SG20,Decrease,6.51,1 Mt - Less than 12 Mt,2.52,3.94,14.2,Between 5% and 15%
12021,EUR,0.12,-3.22,3.11,0,0,0,3.22,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,No Change,NA,NA,Steady,0.01,Less than 1 Mt,0.00,3.94,0,Between -5% and  5%
12022,EUR,2.08,-0.44,2.41,0.01,-4.06,0,4.5,2,1,2.5% to 7.5% Change,"Two Gains, One Loss","Cropland and Forest Gain, Grassland Lost",Complex,HWSD,SG20,Steady,2.57,1 Mt - Less than 12 Mt,0.51,3.94,4,Between -5% and  5%
12025,EUR,-3.9,-2.6,7.7,0.01,-1.21,0,7.7,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,Complex,SG17,SG20,PeakSteady,3.45,1 Mt - Less than 12 Mt,0.98,3.94,1.8,Between -5% and  5%
12029,EUR,3.79,-2.39,0.57,0.09,-2.07,0,4.46,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Forest Gained, Pasture and Grassland Lost",All Sequestration,HWSD,SG20,Increase,4.65,1 Mt - Less than 12 Mt,-4.02,3.94,-1.2,Between -5% and  5%
12030,EUR,3.62,-2.65,2,0.11,-3.07,0,5.72,2,2,2.5% to 7.5% Change,"Two Gains, Two Losses","Cropland and Forest Gain, Pasture and Grassland Lost",Complex,HWSD,SG20,Increase,7.43,1 Mt - Less than 12 Mt,-5.12,3.94,-1.1,Between -5% and  5%
12031,EUR,0.76,-2.61,4.94,0.05,-3.14,0,5.75,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,SG20,PeakSteady,1.05,1 Mt - Less than 12 Mt,0.76,3.94,7.2,Between 5% and 15%
12033,EUR,2.8,-2.55,2.78,0.11,-3.14,0,5.69,2,2,2.5% to 7.5% Change,"Two Gains, Two Losses","Cropland and Forest Gain, Pasture and Grassland Lost",All Sequestration,Houghton,SG20,Increase,0.87,Less than 1 Mt,-0.48,3.94,0.1,Between -5% and  5%
12035,EUR,-3,-3.65,8.47,-0.05,-1.77,0,8.47,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,Complex,Houghton,SG20,Increase,2.33,1 Mt - Less than 12 Mt,-0.78,3.94,1.3,Between -5% and  5%
12049,EUR,3.67,-0.92,0.3,0,-3.04,0,3.97,1,1,2.5% to 7.5% Change,One to One,"Forest Gained, Grassland Lost",No Change,NA,NA,Steady,0.00,Less than 1 Mt,0.00,3.94,0,Between -5% and  5%
12054,EUR,0.29,-4.11,4.84,0.04,-1.07,0,5.17,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,SG17,HWSD,Decrease,5.80,1 Mt - Less than 12 Mt,8.27,3.94,65.2,Greater than 50%
12055,EUR,0.33,-3.45,5.4,0.01,-1.61,-0.69,5.74,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,Houghton,Decrease,1.40,1 Mt - Less than 12 Mt,1.23,3.94,9.6,Between 5% and 15%
12075,EUR,-3.76,0.14,14.58,0.04,-10.56,-0.43,14.76,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Grassland Loss",No Change,NA,NA,Steady,0.88,Less than 1 Mt,0.09,3.94,-1.2,Between -5% and  5%
13001,EUR,0,0,0,-0.02,0,0.02,0.02,0,0,Less than 2.5% Change,No Change,No Change,Complex,FAO,Houghton,Steady,2.79,1 Mt - Less than 12 Mt,-0.21,102.44,-0.2,Between -5% and  5%
13008,EUR,2.87,-0.02,-0.01,0,-2,-0.85,2.87,1,1,2.5% to 7.5% Change,One to One,"Forest Gained, Grassland Lost",No Change,NA,NA,Steady,0.64,Less than 1 Mt,0.08,102.44,0,Between -5% and  5%
13012,EUR,-10.09,-0.39,14.7,0.04,-3.72,-0.54,14.73,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Grassland Loss",All Emissions,HWSD,FAO,Decrease,133.55,Greater than 50 Mt,53.92,102.44,52.8,Greater than 50%
13013,EUR,-10.33,-0.04,11.87,0.02,-1.47,-0.03,11.88,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Grassland Loss",Complex,HWSD,SG20,Complex,81.29,Greater than 50 Mt,15.59,102.44,4.7,Between -5% and  5%
13016,EUR,-2.32,-18.12,18.55,0.03,1.86,0,20.44,1,1,Greater than 7.5% Change,One to One,Cropland From Pasture,All Emissions,SG20,SG17,Trough,1.50,1 Mt - Less than 12 Mt,1.13,102.44,1.4,Between -5% and  5%
13017,EUR,-17.99,-0.03,19.9,0,-1.89,0,19.91,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Grassland Loss",All Emissions,HWSD,FAO,Decrease,1.38,1 Mt - Less than 12 Mt,0.35,102.44,0.2,Between -5% and  5%
13021,EUR,-1.01,-3.98,7.35,0.11,-2.46,0,7.46,1,3,2.5% to 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,FAO,SG20,PeakSteady,1.99,1 Mt - Less than 12 Mt,1.59,102.44,2.1,Between -5% and  5%
13024,EUR,-4.11,-13.54,19.34,0.01,-1.71,0,19.35,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,HWSD,SG20,Decrease,14.03,12 Mt - Less than 25 Mt,2.09,102.44,2,Between -5% and  5%
13026,EUR,-1.93,-9.7,9.98,0.17,1.48,0,11.62,1,1,Greater than 7.5% Change,One to One,Cropland From Pasture,Complex,SG17,SG20,PeakSteady,3.32,1 Mt - Less than 12 Mt,1.69,102.44,2,Between -5% and  5%
13028,EUR,0.27,-4.28,7.1,0.06,-3.16,0,7.44,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,HWSD,Houghton,Increase,6.63,1 Mt - Less than 12 Mt,3.43,102.44,4.3,Between -5% and  5%
13029,EUR,-1,-3.7,6.73,0.03,-2.06,0,6.76,1,3,2.5% to 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,No Change,NA,NA,Steady,0.12,Less than 1 Mt,0.14,102.44,0.2,Between -5% and  5%
13031,EUR,0.02,-3.32,7.16,0.07,-3.92,0,7.24,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,SG20,Increase,1.50,1 Mt - Less than 12 Mt,2.60,102.44,3.5,Between -5% and  5%
13032,EUR,0.75,-3.22,5.93,0.17,-3.62,0,6.85,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,HWSD,Decrease,2.86,1 Mt - Less than 12 Mt,5.52,102.44,7.7,Between 5% and 15%
13036,EUR,0.68,-4.19,5.24,0.35,-2.08,0,6.27,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",No Change,NA,NA,Steady,0.30,Less than 1 Mt,0.36,102.44,0.5,Between -5% and  5%
13041,EUR,0.51,-5.31,5.97,0.04,-1.12,-0.09,6.52,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,SG17,FAO,PeakSteady,0.54,Less than 1 Mt,1.22,102.44,1.7,Between -5% and  5%
13044,EUR,0.93,-4.92,5.73,0.04,-1.78,0,6.7,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,HWSD,PeakSteady,1.11,1 Mt - Less than 12 Mt,1.75,102.44,2.5,Between -5% and  5%
13046,EUR,0.15,-4.42,5.52,0.09,-1.35,0,5.77,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,HWSD,PeakSteady,0.56,Less than 1 Mt,1.59,102.44,2.3,Between -5% and  5%
13050,EUR,2.33,-4.57,1.27,0.24,0.79,-0.05,4.62,2,1,2.5% to 7.5% Change,"Two Gains, One Loss","Cropland and Forest Gain, Pasture Lost",Complex,SG17,HWSD,Increase,3.80,1 Mt - Less than 12 Mt,-1.12,102.44,-1.7,Between -5% and  5%
13054,EUR,0.32,-4.54,7.09,0.12,-2.99,-0.01,7.53,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,HWSD,Decrease,2.27,1 Mt - Less than 12 Mt,4.81,102.44,6.8,Between 5% and 15%
13055,EUR,1.27,-3.57,3.42,0.02,-0.33,-0.81,4.71,2,1,2.5% to 7.5% Change,"Two Gains, One Loss","Cropland and Forest Gain, Pasture Lost",Complex,SG17,HWSD,Increase,1.85,1 Mt - Less than 12 Mt,0.69,102.44,0.8,Between -5% and  5%
13057,EUR,1.42,-4.15,2.71,0.25,-0.22,0,4.38,2,1,2.5% to 7.5% Change,"Two Gains, One Loss","Cropland and Forest Gain, Pasture Lost",Complex,SG17,SG20,Increase,1.94,1 Mt - Less than 12 Mt,0.05,102.44,0,Between -5% and  5%
13059,EUR,1.44,-3.05,2.38,0.17,1.37,-2.31,5.36,1,1,2.5% to 7.5% Change,One to One,"Cropland Gained, Shrubland Lost",Complex,SG17,Houghton,Increase,1.50,1 Mt - Less than 12 Mt,0.82,102.44,1.1,Between -5% and  5%
13060,EUR,0.67,-1.41,1.01,0.14,-0.18,-0.24,1.83,1,1,Less than 2.5% Change,One to One,Cropland From Pasture,No Change,NA,NA,Steady,0.24,Less than 1 Mt,0.44,102.44,0.6,Between -5% and  5%
13061,EUR,1.83,-1.71,4.26,0.03,-3.72,-0.7,6.12,2,2,2.5% to 7.5% Change,"Two Gains, Two Losses","Cropland and Forest Gain, Pasture and Grassland Lost",No Change,NA,NA,Steady,0.32,Less than 1 Mt,0.49,102.44,0.7,Between -5% and  5%
13062,EUR,1.07,-2.64,5.23,-0.02,-3.64,0,6.3,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,HWSD,Decrease,0.94,Less than 1 Mt,2.64,102.44,3.7,Between -5% and  5%
13063,EUR,0.56,-4.64,2.02,0.15,1.82,0.09,4.64,2,1,2.5% to 7.5% Change,"Two Gains, One Loss","Cropland and Grassland Gained,  Pasture Lost",Complex,SG17,SG20,Increase,0.68,Less than 1 Mt,0.35,102.44,0.3,Between -5% and  5%
13064,EUR,1.07,-4.08,5.6,0.03,-2.58,-0.03,6.7,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",All Emissions,SG17,HWSD,Decrease,0.72,Less than 1 Mt,1.67,102.44,2.4,Between -5% and  5%
13067,EUR,0.87,-3.08,0.29,0.01,1.38,0.54,3.1,1,1,2.5% to 7.5% Change,One to One,"Grassland Gained, Pasture Lost",Complex,FAO,Houghton,Increase,0.66,Less than 1 Mt,-0.29,102.44,-0.5,Between -5% and  5%
13069,EUR,1.43,-3.54,3.11,0.09,0.71,-1.79,5.34,2,2,2.5% to 7.5% Change,"Two Gains, Two Losses","Cropland and Forest Gain, Pasture and Grassland Lost",All Sequestration,SG17,HWSD,Increase,0.45,Less than 1 Mt,0.19,102.44,0.2,Between -5% and  5%
13071,EUR,0.87,-3.91,1.48,0.17,1.23,0.16,3.91,2,1,2.5% to 7.5% Change,"Two Gains, One Loss",Cropland from Grassland,All Sequestration,SG17,HWSD,Increase,0.94,Less than 1 Mt,0.09,102.44,0.1,Between -5% and  5%
13073,EUR,0.91,-4.23,1.24,0.04,1.39,0.66,4.23,2,1,2.5% to 7.5% Change,"Two Gains, One Loss",Cropland from Grassland,All Sequestration,SG20,FAO,Increase,1.60,1 Mt - Less than 12 Mt,-0.20,102.44,-0.3,Between -5% and  5%
13074,EUR,0.1,-5.39,4.09,0.03,0.1,1.07,5.39,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,Complex,HWSD,FAO,Increase,2.50,1 Mt - Less than 12 Mt,-0.57,102.44,-1,Between -5% and  5%
13081,EUR,-0.03,-7.23,4.64,0.03,1.69,0.9,7.26,2,1,2.5% to 7.5% Change,"Two Gains, One Loss",Cropland from Grassland,All Sequestration,SG17,HWSD,Increase,0.94,Less than 1 Mt,-0.18,102.44,-0.3,Between -5% and  5%
13083,EUR,0.26,-4.68,-0.5,0.05,2.97,1.9,5.18,2,1,2.5% to 7.5% Change,"Two Gains, One Loss","Grassland and Shrubland Gained, Pasture Lost",All Sequestration,SG17,HWSD,Increase,0.94,Less than 1 Mt,-0.30,102.44,-0.5,Between -5% and  5%
13086,EUR,0,-1.15,-0.84,1.99,0,0,1.99,1,1,Less than 2.5% Change,One to One,"Grassland Gained, Pasture Lost",No Change,NA,NA,Steady,0.05,Less than 1 Mt,0.00,102.44,0,Between -5% and  5%
13215,EUR,0,0,0,0,0,0,0,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.00,Less than 1 Mt,0.00,102.44,0,Between -5% and  5%
14017,ROW,-5.72,-1.95,10.91,0,-3.23,0,10.91,1,3,Greater than 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,No Change,NA,NA,Steady,0.06,Less than 1 Mt,0.01,18.81,0,Between -5% and  5%
14025,ROW,-0.95,-2.71,4.03,0.01,-0.38,0,4.04,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,SG17,SG20,PeakSteady,1.38,1 Mt - Less than 12 Mt,1.00,18.81,6.9,Between 5% and 15%
14030,ROW,-0.99,-2.36,3.74,0.18,-0.57,0,3.92,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Sequestration,SG17,SG20,Increase,0.55,Less than 1 Mt,-0.39,18.81,-3.5,Between -5% and  5%
14035,ROW,-1.38,-3.26,4.56,0.02,0.05,0,4.63,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Pasture Lost",Complex,HWSD,SG20,Increase,1.79,1 Mt - Less than 12 Mt,0.65,18.81,3.5,Between -5% and  5%
14039,ROW,-1.81,-3.08,6.03,0.01,-1.15,0,6.04,1,3,2.5% to 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,HWSD,Houghton,PeakSteady,10.55,1 Mt - Less than 12 Mt,10.98,18.81,67.6,Greater than 50%
14047,ROW,-0.99,-4.86,8.66,0.01,-2.21,-0.61,8.67,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Grassland Loss",All Emissions,SG17,Houghton,Decrease,12.92,12 Mt - Less than 25 Mt,4.35,18.81,21.5,Between 15% and 50%
14049,ROW,-1.62,-2.21,5.06,0.02,-1.25,0,5.08,1,3,2.5% to 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,Complex,HWSD,SG20,PeakSteady,3.64,1 Mt - Less than 12 Mt,1.55,18.81,7.8,Between 5% and 15%
14053,ROW,-0.45,-5.2,10.85,0.02,-5.22,0,10.87,1,2,Greater than 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",Complex,SG17,Houghton,Complex,7.30,1 Mt - Less than 12 Mt,-0.38,18.81,-9.6,Between -5% and -40%
14054,ROW,-2.51,-1.87,5.67,0.02,-1.3,-0.01,5.69,1,3,2.5% to 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,HWSD,SG20,PeakSteady,2.09,1 Mt - Less than 12 Mt,1.04,18.81,5.7,Between 5% and 15%
15054,ROW,-1.72,-1.99,5.65,0.08,-2.03,0,5.73,1,3,2.5% to 7.5% Change,"One Gain, Three or More Losses",Cropland Gains,All Emissions,SG17,Houghton,PeakSteady,2.82,1 Mt - Less than 12 Mt,3.67,10.39,38.4,Between 15% and 50%
15055,ROW,-0.06,-0.48,4.82,0.07,-4.18,-0.17,4.89,1,1,2.5% to 7.5% Change,One to One,Cropland from Grassland,All Emissions,SG17,HWSD,Decrease,2.02,1 Mt - Less than 12 Mt,2.26,10.39,22.9,Between 15% and 50%
15070,ROW,0.79,-1.69,2.86,0.12,-1.72,-0.37,3.77,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",Complex,Houghton,HWSD,Complex,3.95,1 Mt - Less than 12 Mt,1.97,10.39,16.7,Between 15% and 50%
15072,ROW,0.09,-1.57,2.79,0.09,-1.14,-0.27,2.98,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Grassland and Pasture Lost",No Change,NA,NA,Steady,1.13,1 Mt - Less than 12 Mt,0.20,10.39,1.3,Between -5% and  5%
15075,ROW,-0.03,-1.36,3.12,0.11,-1.03,-0.81,3.23,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,All Emissions,Houghton,SG20,Decrease,3.69,1 Mt - Less than 12 Mt,1.71,10.39,16.2,Between 15% and 50%
15084,ROW,0.02,-1.48,1.71,0.07,-0.36,0.04,1.84,1,1,Less than 2.5% Change,One to One,Cropland From Pasture,All Emissions,Houghton,HWSD,Decrease,1.21,1 Mt - Less than 12 Mt,0.57,10.39,4.6,Between -5% and  5%
15099,ROW,0,-0.02,-3.17,0,0,3.19,3.19,1,1,2.5% to 7.5% Change,One to One,"Shrubland Gained, Cropland Lost",No Change,NA,NA,Steady,0.01,Less than 1 Mt,-0.01,10.39,-0.1,Between -5% and  5%
16001,ROW,0,0,0,-0.15,0,0.15,0.15,0,0,Less than 2.5% Change,No Change,No Change,No Change,NA,NA,Steady,0.14,Less than 1 Mt,0.01,6.84,0.1,Between -5% and  5%
16008,ROW,-2.05,-0.05,3.73,0.05,-1.66,-0.02,3.78,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Grassland Loss",All Emissions,HWSD,Houghton,Decrease,15.13,12 Mt - Less than 25 Mt,5.41,6.84,66.1,Greater than 50%
16011,ROW,0.1,-0.12,0.98,-0.71,-0.24,0,1.08,0,0,Less than 2.5% Change,No Change,No Change,Complex,Houghton,HWSD,Complex,6.63,1 Mt - Less than 12 Mt,0.27,6.84,10,Between 5% and 15%
16012,ROW,-1.75,-0.04,3.68,0.01,-2.19,0.29,3.98,1,2,2.5% to 7.5% Change,"One Gain, Two Losses","Cropland Gained, Forest and Grassland Loss",No Change,NA,NA,Steady,2.15,1 Mt - Less than 12 Mt,0.65,6.84,10.8,Between 5% and 15%
16032,ROW,-0.62,-2.87,4.08,0.19,-0.78,0,4.28,1,1,2.5% to 7.5% Change,One to One,Cropland From Pasture,No Change,NA,NA,Steady,0.45,Less than 1 Mt,0.37,6.84,9.6,Between 5% and 15%
